ROW_ID,ITEMID,LABEL,FLUID,CATEGORY,LOINC_CODE
143,50942,Hepatitis B Virus Core Antibody,Blood,Chemistry,5187-0
151,50950,Immunoglobulin G,Blood,Chemistry,2465-3
152,50951,Immunoglobulin M,Blood,Chemistry,2472-9
101,50900,Carcinoembyronic Antigen (CEA),Blood,Chemistry,2039-6
107,50906,"Cholesterol, LDL, Measured",Blood,Chemistry,18262-6
157,50956,Lipase,Blood,Chemistry,3040-3
188,50988,Testosterone,Blood,Chemistry,2986-8
192,50992,Thyroid Peroxidase Antibodies,Blood,Chemistry,8099-4
94,50893,"Calcium, Total",Blood,Chemistry,2000-8
184,50983,Sodium,Blood,Chemistry,2951-2
124,50923,Fax,Blood,Chemistry,
148,50947,I,Blood,Chemistry,
78,50877,Anti-Thyroglobulin Antibodies,Blood,Chemistry,5380-1
103,50902,Chloride,Blood,Chemistry,2075-0
118,50917,Digoxin,Blood,Chemistry,10535-3
68,50867,Amylase,Blood,Chemistry,1798-8
196,50996,"Tissue Transglutaminase Ab, IgA",Blood,Chemistry,31017-7
62,50861,Alanine Aminotransferase (ALT),Blood,Chemistry,1742-6
84,50883,"Bilirubin, Direct",Blood,Chemistry,1968-7
127,50926,Follicle Stimulating Hormone,Blood,Chemistry,15067-2
70,50869,Anti-DGP (IgA/IgG),Blood,Chemistry,
137,50936,"HCG, Maternal Screen",Blood,Chemistry,
144,50943,Hepatitis C Virus Antibody,Blood,Chemistry,16128-1
147,50946,Human Chorionic Gonadotropin,Blood,Chemistry,2119-6
105,50904,"Cholesterol, HDL",Blood,Chemistry,2085-9
189,50989,"Testosterone, Free",Blood,Chemistry,2991-8
190,50990,Theophylline,Blood,Chemistry,4049-3
193,50993,Thyroid Stimulating Hormone,Blood,Chemistry,3016-3
54,50853,25-OH Vitamin D,Blood,Chemistry,
89,50888,Blue Top Hold Frozen,Blood,Chemistry,
120,50919,EDTA Hold,Blood,Chemistry,
92,50891,C4,Blood,Chemistry,4498-2
121,50920,Estimated GFR (MDRD equation),Blood,Chemistry,33914-3
145,50944,HIV Antibody,Blood,Chemistry,5220-9
93,50892,CA-125,Blood,Chemistry,10334-1
154,50953,"Iron Binding Capacity, Total",Blood,Chemistry,2500-7
158,50957,Lithium,Blood,Chemistry,3719-2
135,50934,H,Blood,Chemistry,
67,50866,Ammonia,Blood,Chemistry,16362-6
146,50945,Homocysteine,Blood,Chemistry,13965-9
194,50994,Thyroxine (T4),Blood,Chemistry,3026-2
208,51008,Valproic Acid,Blood,Chemistry,4086-5
187,50986,tacroFK,Blood,Chemistry,
72,50871,Anti-Mitochondrial Antibody,Blood,Chemistry,14236-4
79,50878,Asparate Aminotransferase (AST),Blood,Chemistry,1920-8
91,50890,C3,Blood,Chemistry,4485-9
126,50925,Folate,Blood,Chemistry,2284-8
139,50938,Hepatitis A Virus IgM Antibody,Blood,Chemistry,22314-9
86,50885,"Bilirubin, Total",Blood,Chemistry,1975-2
155,50954,Lactate Dehydrogenase (LD),Blood,Chemistry,2532-0
171,50970,Phosphate,Blood,Chemistry,2777-1
210,51010,Vitamin B12,Blood,Chemistry,2170-9
199,50999,Tricyclic Antidepressant Screen,Blood,Chemistry,4073-3
64,50863,Alkaline Phosphatase,Blood,Chemistry,6768-6
109,50908,CK-MB Index,Blood,Chemistry,20569-0
150,50949,Immunoglobulin A,Blood,Chemistry,2458-8
204,51004,"UE3, Maternal Screen",Blood,Chemistry,
122,50921,Estradiol,Blood,Chemistry,2243-4
205,51005,Uptake Ratio,Blood,Chemistry,3050-2
74,50873,Anti-Nuclear Antibody,Blood,Chemistry,5047-6
112,50911,"Creatine Kinase, MB Isoenzyme",Blood,Chemistry,6773-6
113,50912,Creatinine,Blood,Chemistry,2160-0
164,50963,NTproBNP,Blood,Chemistry,33762-6
61,50860,"AFP, Maternal Screen",Blood,Chemistry,
81,50880,Benzodiazepine Screen,Blood,Chemistry,42662-7
90,50889,C-Reactive Protein,Blood,Chemistry,1988-5
104,50903,Cholesterol Ratio (Total/HDL),Blood,Chemistry,9322-9
209,51009,Vancomycin,Blood,Chemistry,20578-1
173,50972,Procainamide,Blood,Chemistry,3982-6
87,50886,Blood Culture Hold,Blood,Chemistry,
82,50881,Beta-2 Microglobulin,Blood,Chemistry,32731-2
97,50896,Calculated Thyroxine (T4) Index,Blood,Chemistry,32215-6
75,50874,"Anti-Nuclear Antibody, Titer",Blood,Chemistry,8061-4
96,50895,Calculated TBG,Blood,Chemistry,3027-0
168,50967,Phenytoin,Blood,Chemistry,3967-7
65,50864,Alpha-Fetoprotein,Blood,Chemistry,1834-1
73,50872,Anti-Neutrophil Cytoplasmic Antibody,Blood,Chemistry,35279-9
128,50927,Gamma Glutamyltransferase,Blood,Chemistry,2324-2
179,50978,Rapamycin,Blood,Chemistry,29247-4
116,50915,D-Dimer,Blood,Chemistry,
100,50899,Carbamazepine,Blood,Chemistry,3432-2
111,50910,Creatine Kinase (CK),Blood,Chemistry,2157-6
167,50966,Phenobarbital,Blood,Chemistry,3947-9
195,50995,"Thyroxine (T4), Free",Blood,Chemistry,3024-7
201,51001,Triiodothyronine (T3),Blood,Chemistry,3053-6
153,50952,Iron,Blood,Chemistry,2498-4
163,50962,N-Acetylprocainamide (NAPA),Blood,Chemistry,3834-9
191,50991,Thyroglobulin,Blood,Chemistry,3013-0
110,50909,Cortisol,Blood,Chemistry,2143-6
125,50924,Ferritin,Blood,Chemistry,2276-4
176,50975,Protein Electrophoresis,Blood,Chemistry,24351-9
77,50876,Anti-Smooth Muscle Antibody,Blood,Chemistry,14252-1
115,50914,Cyclosporin,Blood,Chemistry,3521-2
170,50969,"Phenytoin, Percent Free",Blood,Chemistry,10548-6
202,51002,Troponin I,Blood,Chemistry,10839-9
207,51007,Uric Acid,Blood,Chemistry,3084-1
265,51065,"Sodium, Stool",Stool,Chemistry,15207-4
261,51061,"Bicarbonate, Stool",Stool,Chemistry,14040-0
262,51062,"Chloride, Stool",Stool,Chemistry,15158-9
264,51064,"Potassium, Stool",Stool,Chemistry,15202-5
263,51063,"Osmolality, Stool",Stool,Chemistry,2693-0
308,51108,Urine Volume,Urine,Chemistry,28009-9
269,51069,"Albumin, Urine",Urine,Chemistry,1754-1
277,51077,"Calcium, Urine",Urine,Chemistry,2004-0
285,51085,"HCG, Urine, Qualitative",Urine,Chemistry,2106-3
301,51101,Total Collection Time,Urine,Chemistry,13362-9
267,51067,24 hr Creatinine,Urine,Chemistry,2162-6
280,51080,Creatinine Clearance,Urine,Chemistry,33558-8
286,51086,"Immunofixation, Urine",Urine,Chemistry,49276-9
278,51078,"Chloride, Urine",Urine,Chemistry,2078-4
282,51082,"Creatinine, Urine",Urine,Chemistry,2161-8
291,51091,"Myoglobin, Urine",Urine,Chemistry,2640-1
293,51093,"Osmolality, Urine",Urine,Chemistry,2695-5
288,51088,"Magnesium, Urine",Urine,Chemistry,2598-1
305,51105,"Uric Acid, Urine",Urine,Chemistry,3086-6
303,51103,Uhold,Urine,Chemistry,
296,51096,Porphobilinogen Screen,Urine,Chemistry,2809-2
290,51090,"Methadone, Urine",Urine,Chemistry,3773-9
298,51098,"Prot. Electrophoresis, Urine",Urine,Chemistry,13438-7
302,51102,"Total Protein, Urine",Urine,Chemistry,2887-8
304,51104,"Urea Nitrogen, Urine",Urine,Chemistry,3095-7
306,51106,Urine Creatinine,Urine,Chemistry,
295,51095,"Phosphate, Urine",Urine,Chemistry,2778-9
294,51094,pH,Urine,Chemistry,2756-5
273,51073,"Amylase/Creatinine Ratio, Urine",Urine,Chemistry,34235-2
287,51087,Length of Urine Collection,Urine,Chemistry,13362-9
270,51070,"Albumin/Creatinine, Urine",Urine,Chemistry,14958-3
300,51100,"Sodium, Urine",Urine,Chemistry,2955-3
307,51107,"Urine tube, held",Urine,Chemistry,
268,51068,24 hr Protein,Urine,Chemistry,2889-4
271,51071,"Amphetamine Screen, Urine",Urine,Chemistry,3349-8
275,51075,"Benzodiazepine Screen, Urine",Urine,Chemistry,3390-2
284,51084,"Glucose, Urine",Urine,Chemistry,2350-7
272,51072,"Amylase, Urine",Urine,Chemistry,1799-6
274,51074,"Barbiturate Screen, Urine",Urine,Chemistry,3377-9
283,51083,"Ethanol, Urine",Urine,Chemistry,5644-0
297,51097,"Potassium, Urine",Urine,Chemistry,2828-2
266,51066,24 hr Calcium,Urine,Chemistry,6874-2
281,51081,"Creatinine, Serum",Urine,Chemistry,
279,51079,"Cocaine, Urine",Urine,Chemistry,3397-7
299,51099,Protein/Creatinine Ratio,Urine,Chemistry,2890-2
276,51076,"Bicarbonate, Urine",Urine,Chemistry,1964-6
292,51092,"Opiate Screen, Urine",Urine,Chemistry,3879-4
309,51109,"Urine Volume, Total",Urine,Chemistry,28009-9
289,51089,Marijuana,Urine,Chemistry,3427-2
41,50840,"Cholesterol, Ascites",Ascites,Chemistry,14441-0
44,50843,"Lactate Dehydrogenase, Ascites",Ascites,Chemistry,2531-2
42,50841,"Creatinine, Ascites",Ascites,Chemistry,12191-3
46,50845,"Miscellaneous, Ascites",Ascites,Chemistry,
51,50850,"Triglycerides, Ascites",Ascites,Chemistry,14447-7
39,50838,"Bilirubin, Total, Ascites",Ascites,Chemistry,14422-0
45,50844,"Lipase, Ascites",Ascites,Chemistry,32722-1
49,50848,"Sodium, Ascites",Ascites,Chemistry,49790-9
47,50846,"Osmolality, Ascites",Ascites,Chemistry,2691-4
40,50839,"Chloride, Ascites",Ascites,Chemistry,33366-6
38,50837,"Bicarbonate, Ascites",Ascites,Chemistry,54360-3
43,50842,"Glucose, Ascites",Ascites,Chemistry,2347-3
37,50836,"Amylase, Ascites",Ascites,Chemistry,1797-0
50,50849,"Total Protein, Ascites",Ascites,Chemistry,2883-7
48,50847,"Potassium, Ascites",Ascites,Chemistry,49789-1
36,50835,"Albumin, Ascites",Ascites,Chemistry,1749-1
52,50851,"Urea Nitrogen, Ascites",Ascites,Chemistry,12265-5
260,51060,"Triglycerides, Pleural",Pleural,Chemistry,9619-8
255,51055,"Lipase, Pleural",Pleural,Chemistry,
257,51057,"Potassium, Pleural",Pleural,Chemistry,
254,51054,"Lactate Dehydrogenase, Pleural",Pleural,Chemistry,2530-4
248,51048,"Bicarbonate, Pleural",Pleural,Chemistry,54361-1
249,51049,"Bilirubin, Total, Pleural",Pleural,Chemistry,14421-2
250,51050,"Chloride, Pleural",Pleural,Chemistry,53627-6
258,51058,"Sodium, Pleural",Pleural,Chemistry,
256,51056,"Miscellaneous, Pleural",Pleural,Chemistry,
253,51053,"Glucose, Pleural",Pleural,Chemistry,2346-5
247,51047,"Amylase, Pleural",Pleural,Chemistry,1796-2
246,51046,"Albumin, Pleural",Pleural,Chemistry,1748-3
252,51052,"Creatinine, Pleural",Pleural,Chemistry,14399-0
251,51051,"Cholesterol, Pleural",Pleural,Chemistry,9618-0
259,51059,"Total Protein, Pleural",Pleural,Chemistry,2882-9
219,51019,"Albumin, Joint Fluid",Joint Fluid,Chemistry,
221,51021,"Creatinine, Joint Fluid",Joint Fluid,Chemistry,14401-4
220,51020,"Amylase, Joint Fluid",Joint Fluid,Chemistry,14388-3
222,51022,"Glucose, Joint Fluid",Joint Fluid,Chemistry,2348-1
223,51023,"LD, Joint Fluid",Joint Fluid,Chemistry,2533-8
224,51024,"Total Protein, Joint Fluid",Joint Fluid,Chemistry,2886-0
238,51038,"Miscellaneous, Body Fluid",Other Body Fluid,Chemistry,
243,51043,"Total Protein, Body Fluid",Other Body Fluid,Chemistry,2881-1
239,51039,"Osmolality, Body Fluid",Other Body Fluid,Chemistry,15200-9
237,51037,"Magnesium, Body Fluid",Other Body Fluid,Chemistry,29365-4
227,51027,"Bicarbonate, Other Fluid",Other Body Fluid,Chemistry,11211-0
233,51033,FetalFN,Other Body Fluid,Chemistry,
231,51031,"Cholesterol, Body Fluid",Other Body Fluid,Chemistry,12183-0
230,51030,"Chloride, Body Fluid",Other Body Fluid,Chemistry,2072-7
236,51036,"Lipase, Body Fluid",Other Body Fluid,Chemistry,15212-4
234,51034,"Glucose, Body Fluid",Other Body Fluid,Chemistry,2344-0
232,51032,"Creatinine, Body Fluid",Other Body Fluid,Chemistry,12190-5
244,51044,Triglycer,Other Body Fluid,Chemistry,12228-3
241,51041,"Potassium, Body Fluid",Other Body Fluid,Chemistry,2821-7
245,51045,"Urea Nitrogen, Body Fluid",Other Body Fluid,Chemistry,3093-2
228,51028,"Bilirubin, Total, Body Fluid",Other Body Fluid,Chemistry,1974-5
242,51042,"Sodium, Body Fluid",Other Body Fluid,Chemistry,2950-4
229,51029,"Calcium, Body Fluid",Other Body Fluid,Chemistry,15155-5
235,51035,"LD, Body Fluid",Other Body Fluid,Chemistry,2529-6
240,51040,"Phosphate, Body Fluid",Other Body Fluid,Chemistry,12242-4
225,51025,"Albumin, Body Fluid",Other Body Fluid,Chemistry,1747-5
226,51026,"Amylase, Body Fluid",Other Body Fluid,Chemistry,1795-4
213,51013,"Chloride, CSF",Cerebrospinal Fluid (CSF),Chemistry,
212,51012,"Bilirubin, Total, CSF",Cerebrospinal Fluid (CSF),Chemistry,1973-7
215,51015,"Lactate Dehydrogenase, CSF",Cerebrospinal Fluid (CSF),Chemistry,2528-8
216,51016,"Miscellaneous, CSF",Cerebrospinal Fluid (CSF),Chemistry,
217,51017,"PEP, CSF",Cerebrospinal Fluid (CSF),Chemistry,24352-7
218,51018,"Total Protein, CSF",Cerebrospinal Fluid (CSF),Chemistry,2880-3
211,51011,<Albumin>,Cerebrospinal Fluid (CSF),Chemistry,1746-7
214,51014,"Glucose, CSF",Cerebrospinal Fluid (CSF),Chemistry,2342-4
752,51554,VOIDED SPECIMEN,JOINT FLUID,HEMATOLOGY,
734,51534,MYELOS,JOINT FLUID,HEMATOLOGY,
733,51533,WBCP,BLOOD,HEMATOLOGY,
739,51541,PROBLEM SPECIMEN,BLOOD,HEMATOLOGY,
732,51532,PLASMGN,BLOOD,HEMATOLOGY,
748,51550,VOIDED SPECIMEN,BLOOD,HEMATOLOGY,
740,51542,PROBLEM SPECIMEN,URINE,HEMATOLOGY,
724,51524,FATTY,URINE,HEMATOLOGY,5789-3
746,51548,VOIDED SPECIMEN,URINE,HEMATOLOGY,
737,51537,TDT,OTHER BODY FLUID,HEMATOLOGY,
735,51535,CD55,OTHER BODY FLUID,HEMATOLOGY,
736,51536,CD59,OTHER BODY FLUID,HEMATOLOGY,
749,51551,VOIDED SPECIMEN,OTHER BODY FLUID,HEMATOLOGY,
391,51191,CD64,Blood,Hematology,17183-5
398,51198,Envelope Cells,Blood,Hematology,681-7
425,51225,Hemoglobin F,Blood,Hematology,9749-3
426,51226,Hemogloblin A,Blood,Hematology,10346-5
447,51247,MacroOvalocytes,Blood,Hematology,10376-2
478,51278,Red Blood Cell Fragments,Blood,Hematology,
424,51224,Hemoglobin C,Blood,Hematology,4561-7
348,51148,Blasts,Blood,Hematology,708-8
392,51192,CD7,Blood,Hematology,8135-6
411,51211,Factor XIII,Blood,Hematology,3240-9
455,51255,Myelocytes,Blood,Hematology,26498-6
469,51269,Promyelocytes,Blood,Hematology,781-5
452,51252,Microcytes,Blood,Hematology,741-9
354,51154,CD117,Blood,Hematology,17107-4
356,51156,CD13,Blood,Hematology,8110-9
437,51237,INR(PT),Blood,Hematology,5895-7
461,51261,Pappenheimer Bodies,Blood,Hematology,7795-8
484,51284,"Reticulocyte Count, Manual",Blood,Hematology,31112-6
362,51162,CD16/56 Absolute Count,Blood,Hematology,
389,51189,CD57,Blood,Hematology,
401,51201,Epinepherine,Blood,Hematology,
495,51295,TdT,Blood,Hematology,
433,51233,Hypochromia,Blood,Hematology,728-6
459,51259,Other Cells,Blood,Hematology,729-4
346,51146,Basophils,Blood,Hematology,704-7
397,51197,Elliptocytes,Blood,Hematology,6681-1
468,51268,Polychromasia,Blood,Hematology,10378-8
472,51272,"Protein S, Antigen",Blood,Hematology,27823-4
476,51276,Quantitative G6PD,Blood,Hematology,32546-4
438,51238,Kappa,Blood,Hematology,
331,51131,Absolute CD4 Count,Blood,Hematology,8128-1
351,51151,Burr Cells,Blood,Hematology,7790-9
475,51275,PTT,Blood,Hematology,3173-2
477,51277,RDW,Blood,Hematology,788-0
480,51280,Reptilase Time,Blood,Hematology,6683-7
385,51185,CD5 %,Blood,Hematology,
486,51286,Ristocetin,Blood,Hematology,
333,51133,Absolute Lymphocyte Count,Blood,Hematology,26474-7
381,51181,CD4/CD8 Ratio,Blood,Hematology,8129-9
396,51196,D-Dimer,Blood,Hematology,48065-7
457,51257,Nucleated Red Cells,Blood,Hematology,772-4
363,51163,CD16/56%,Blood,Hematology,
357,51157,CD138,Blood,Hematology,42869-8
413,51213,Fibrin Degradation Products,Blood,Hematology,30226-5
344,51144,Bands,Blood,Hematology,763-3
410,51210,Factor XII,Blood,Hematology,3232-6
499,51299,Von Willebrand Factor Antigen,Blood,Hematology,6012-9
366,51166,CD19 Absolute Count,Blood,Hematology,
358,51158,CD14,Blood,Hematology,8111-7
390,51190,CD59,Blood,Hematology,17177-7
421,51221,Hematocrit,Blood,Hematology,4544-3
456,51256,Neutrophils,Blood,Hematology,761-7
370,51170,CD20 Absolute Count,Blood,Hematology,
485,51285,"Reticulocyte, Cellular Hemoglobin",Blood,Hematology,
343,51143,Atypical Lymphocytes,Blood,Hematology,733-6
418,51218,Granulocyte Count,Blood,Hematology,30394-1
441,51241,Leukocyte Alkaline Phosphatase,Blood,Hematology,4659-9
442,51242,LUC,Blood,Hematology,
359,51159,CD15,Blood,Hematology,17117-3
416,51216,Fragmented Cells,Blood,Hematology,10373-9
502,51302,Young Cells,Blood,Hematology,51633-6
336,51136,Alpha Antiplasmin,Blood,Hematology,
339,51139,Anticardiolipin Antibody IgM,Blood,Hematology,3182-3
349,51149,Bleeding Time,Blood,Hematology,11067-6
379,51179,CD38,Blood,Hematology,8126-5
434,51234,Immunophenotyping,Blood,Hematology,
337,51137,Anisocytosis,Blood,Hematology,702-1
473,51273,"Protein S, Functional",Blood,Hematology,31102-7
388,51188,CD56,Blood,Hematology,8133-1
402,51202,Factor II,Blood,Hematology,3289-6
462,51262,Pencil Cells,Blood,Hematology,10377-0
501,51301,White Blood Cells,Blood,Hematology,804-5
335,51135,ADP,Blood,Hematology,
364,51164,CD19,Blood,Hematology,8117-4
498,51298,Von Willebrand Factor Activity,Blood,Hematology,6014-5
372,51172,CD23,Blood,Hematology,14018-6
373,51173,CD25,Blood,Hematology,
407,51207,Factor VIII Inhibitor,Blood,Hematology,3204-5
458,51258,Osmotic Fragility,Blood,Hematology,34964-7
483,51283,"Reticulocyte Count, Automated",Blood,Hematology,17849-1
494,51294,Target Cells,Blood,Hematology,10381-2
342,51142,Arachadonic Acid,Blood,Hematology,
386,51186,CD5 Absolute Count,Blood,Hematology,
338,51138,Anticardiolipin Antibody IgG,Blood,Hematology,8065-5
382,51182,CD41,Blood,Hematology,17148-8
414,51214,"Fibrinogen, Functional",Blood,Hematology,3255-7
451,51251,Metamyelocytes,Blood,Hematology,28541-1
454,51254,Monocytes,Blood,Hematology,742-7
443,51243,Lupus Anticoagulant,Blood,Hematology,
371,51171,CD22,Blood,Hematology,14017-8
400,51200,Eosinophils,Blood,Hematology,711-2
431,51231,Howell-Jolly Bodies,Blood,Hematology,7793-3
493,51293,Sugar Water Test,Blood,Hematology,12260-6
445,51245,"Lymphocytes, Percent",Blood,Hematology,26478-8
450,51250,MCV,Blood,Hematology,787-2
482,51282,"Reticulocyte Count, Absolute",Blood,Hematology,14196-0
350,51150,Blood Parasite Smear,Blood,Hematology,24429-3
393,51193,CD71,Blood,Hematology,8136-4
466,51266,Platelet Smear,Blood,Hematology,778-1
489,51289,Serum Viscosity,Blood,Hematology,3128-6
347,51147,Bite Cells,Blood,Hematology,10371-3
368,51168,CD20,Blood,Hematology,8119-0
404,51204,Factor V,Blood,Hematology,3193-0
405,51205,Factor VII,Blood,Hematology,3198-9
460,51260,Ovalocytes,Blood,Hematology,774-0
470,51270,"Protein C, Antigen",Blood,Hematology,27820-0
487,51287,Schistocytes,Blood,Hematology,800-3
496,51296,Teardrop Cells,Blood,Hematology,7791-7
353,51153,CD103,Blood,Hematology,
415,51215,FMC-7,Blood,Hematology,17220-5
374,51174,CD3 %,Blood,Hematology,
384,51184,CD5,Blood,Hematology,8132-3
429,51229,"Heparin, LMW",Blood,Hematology,32684-3
334,51134,Acanthocytes,Blood,Hematology,7789-1
380,51180,"CD4 Cells, Percent",Blood,Hematology,8127-3
439,51239,Lambda,Blood,Hematology,
481,51281,Reptilase Time Control,Blood,Hematology,
432,51232,Hypersegmented Neutrophils,Blood,Hematology,766-6
464,51264,Platelet Clumps,Blood,Hematology,40741-1
